State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.002418, 0.002418, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.002418, 0.003627, 0.001209, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.003627, 0.004835, 0.001208, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.004835, 0.006044, 0.001209, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.006044, 0.007253, 0.001209, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.007253, 0.008463, 0.001210, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.008463, 0.009672, 0.001209, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.009672, 0.010881, 0.001209, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.010881, 0.012090, 0.001209, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.012090, 0.013298, 0.001208, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.013298, 0.013298, 0.000000, 0.000000, PMPI_Irecv
State, rank-4, MPI_STATE, 0.013298, 0.014487, 0.001189, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.014487, 0.014487, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.014487, 0.014487, 0.000000, 0.000000, PMPI_Irecv
State, rank-4, MPI_STATE, 0.014487, 0.015675, 0.001188, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.015675, 0.015675, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.015675, 0.015675, 0.000000, 0.000000, PMPI_Irecv
State, rank-4, MPI_STATE, 0.015675, 0.018086, 0.002411, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.018086, 0.018086, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.018086, 0.018086, 0.000000, 0.000000, PMPI_Irecv
State, rank-4, MPI_STATE, 0.018086, 0.020498, 0.002412, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.020498, 0.020498, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.020498, 0.026503, 0.006005, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.026503, 0.027703, 0.001200, 0.000000, PMPI_Barrier
State, rank-4, MPI_STATE, 0.027703, 0.030125, 0.002422, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.030125, 0.031336, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.031336, 0.032547, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.032547, 0.033758, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.033758, 0.034969, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.034969, 0.036179, 0.001210, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.036179, 0.037390, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.037390, 0.038601, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.038601, 0.039812, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.039812, 0.041022, 0.001210, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.041022, 0.042233, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.042233, 0.043444, 0.001211, 0.000000, PMPI_Recv
